                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.74701,                0.66402,                 0.9895,                 0.9077,                0.81174,                0.89009,                0.73624,                 0.7248,                0.53134,                0.92175,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                0.81682,                0.68852,                 1.0282,                0.90565,                0.81539,                0.89211,                0.73651,                0.71992,                0.53054,                0.92005,             1.7673e-05,             1.7673e-05,             1.7673e-05
                      3,                0.80159,                0.65193,                 1.0076,                0.92406,                0.80138,                0.89065,                0.73999,                0.71513,                0.52471,                0.91889,             2.6828e-05,             2.6828e-05,             2.6828e-05
                      4,                0.80627,                0.65303,                 1.0233,                0.91969,                0.81309,                0.89413,                0.74557,                0.70842,                0.52085,                0.91717,             3.5794e-05,             3.5794e-05,             3.5794e-05
                      5,                0.85247,                0.70737,                 1.0231,                0.92136,                0.82094,                0.89622,                0.74559,                0.70879,                0.52178,                 0.9165,             4.4572e-05,             4.4572e-05,             4.4572e-05
                      6,                0.78517,                0.62816,                 1.0005,                0.91842,                0.82115,                0.89342,                0.74113,                0.71267,                0.52606,                0.91832,             5.3161e-05,             5.3161e-05,             5.3161e-05
                      7,                0.80503,                0.64941,                 1.0179,                0.89537,                0.83649,                0.89453,                0.74232,                0.71108,                0.52222,                0.91976,             6.1562e-05,             6.1562e-05,             6.1562e-05
                      8,                0.77451,                0.64108,                0.99771,                0.89425,                0.83402,                0.89421,                0.73839,                0.71803,                 0.5195,                0.92166,             6.9775e-05,             6.9775e-05,             6.9775e-05
                      9,                0.80763,                0.64608,                 1.0056,                0.91894,                0.81445,                0.89238,                0.73832,                0.72493,                0.52496,                0.92246,             7.7798e-05,             7.7798e-05,             7.7798e-05
                     10,                0.78197,                0.64741,                 1.0115,                0.91537,                0.82195,                0.89608,                0.73536,                0.72633,                0.52712,                0.92245,             8.5634e-05,             8.5634e-05,             8.5634e-05
                     11,                0.80727,                0.65212,                  1.007,                0.90171,                0.83037,                  0.895,                 0.7373,                0.72426,                0.52683,                0.92046,             9.3281e-05,             9.3281e-05,             9.3281e-05
                     12,                0.77861,                0.62964,                0.99813,                0.91384,                0.82829,                0.89497,                0.74483,                0.71518,                0.51937,                0.91819,             0.00010074,             0.00010074,             0.00010074
                     13,                0.80166,                0.65524,                 1.0193,                0.91191,                0.82308,                0.89426,                0.74268,                0.71182,                0.51625,                0.91647,             0.00010486,             0.00010486,             0.00010486
                     14,                0.82855,                 0.6788,                  1.015,                0.90944,                0.82354,                0.89818,                 0.7462,                0.70671,                0.51485,                0.91434,             0.00010486,             0.00010486,             0.00010486
                     15,                0.81932,                0.66737,                 1.0056,                0.91048,                0.82482,                0.89977,                0.74393,                0.71092,                0.51916,                0.91548,             0.00010368,             0.00010368,             0.00010368
                     16,                0.79364,                0.65141,                 1.0094,                0.91042,                0.82789,                0.89933,                 0.7441,                0.71058,                0.52219,                0.91675,             0.00010251,             0.00010251,             0.00010251
                     17,                0.79043,                0.66382,                 1.0124,                0.92431,                0.81698,                0.89935,                0.74711,                0.70487,                 0.5178,                0.91418,             0.00010133,             0.00010133,             0.00010133
                     18,                0.79181,                0.63633,                 1.0026,                0.92728,                0.81518,                0.90295,                0.74606,                0.70524,                0.51306,                0.91146,             0.00010015,             0.00010015,             0.00010015
                     19,                0.72876,                0.62019,                0.99488,                 0.9247,                0.81819,                0.90294,                0.74787,                0.70131,                0.51278,                0.90974,             9.8972e-05,             9.8972e-05,             9.8972e-05
                     20,                0.77755,                0.64138,                 1.0006,                 0.9214,                0.82214,                 0.9008,                 0.7483,                0.70007,                0.51687,                0.90934,             9.7794e-05,             9.7794e-05,             9.7794e-05
                     21,                0.77953,                0.63277,                0.99819,                0.93342,                0.81735,                0.90009,                0.74843,                0.70266,                0.51822,                0.90947,             9.6616e-05,             9.6616e-05,             9.6616e-05
                     22,                0.79388,                0.63583,                 1.0126,                 0.9308,                0.82329,                 0.9011,                 0.7506,                0.70156,                0.51403,                0.90841,             9.5438e-05,             9.5438e-05,             9.5438e-05
                     23,                0.79031,                0.63751,                 0.9897,                0.91872,                0.83519,                0.90193,                0.75341,                    0.7,                 0.5114,                0.90776,              9.426e-05,              9.426e-05,              9.426e-05
                     24,                0.76841,                 0.6532,                 1.0022,                0.90712,                0.83954,                0.90509,                0.75454,                0.69786,                0.50871,                0.90554,             9.3082e-05,             9.3082e-05,             9.3082e-05
                     25,                0.76442,                0.62548,                0.99572,                0.91655,                0.83167,                0.90419,                0.75551,                0.69803,                0.50536,                0.90553,             9.1904e-05,             9.1904e-05,             9.1904e-05
                     26,                0.77906,                0.65969,                 1.0105,                0.91515,                0.83305,                0.90237,                0.75305,                0.69652,                0.50306,                0.90448,             9.0726e-05,             9.0726e-05,             9.0726e-05
                     27,                0.78615,                0.63894,                   1.01,                0.92038,                0.83777,                0.90315,                0.75643,                0.69417,                0.50471,                0.90361,             8.9547e-05,             8.9547e-05,             8.9547e-05
                     28,                 0.7802,                0.61509,                  0.997,                0.90381,                0.85167,                0.90651,                0.75456,                 0.6914,                0.50384,                0.90261,             8.8369e-05,             8.8369e-05,             8.8369e-05
                     29,                0.77304,                0.62112,                0.99438,                0.91356,                0.84461,                0.90492,                0.75664,                0.68781,                0.50311,                0.90131,             8.7191e-05,             8.7191e-05,             8.7191e-05
                     30,                0.75611,                 0.6016,                0.96605,                0.90864,                0.84564,                0.90075,                0.75457,                0.68594,                0.49205,                0.90078,             8.6013e-05,             8.6013e-05,             8.6013e-05
                     31,                0.79106,                0.64331,                 1.0009,                0.94002,                0.82158,                0.90423,                0.75705,                0.68664,                0.48686,                0.90153,             8.4835e-05,             8.4835e-05,             8.4835e-05
                     32,                0.69715,                0.57907,                 0.9777,                0.90614,                 0.8428,                0.90406,                 0.7571,                0.68214,                0.48574,                0.89971,             8.3657e-05,             8.3657e-05,             8.3657e-05
                     33,                0.76062,                0.62328,                0.99106,                0.93365,                0.82329,                0.90348,                 0.7564,                0.67937,                0.48356,                0.89953,             8.2479e-05,             8.2479e-05,             8.2479e-05
                     34,                0.76879,                0.63899,                 1.0062,                 0.9299,                0.83397,                0.90273,                0.75799,                0.67444,                0.48253,                0.90034,             8.1301e-05,             8.1301e-05,             8.1301e-05
                     35,                0.75218,                0.59717,                0.98544,                0.93368,                0.83512,                0.90305,                0.75735,                0.67192,                0.48439,                0.90045,             8.0123e-05,             8.0123e-05,             8.0123e-05
                     36,                0.77174,                0.62392,                0.97997,                 0.9309,                0.83475,                0.90322,                0.75969,                0.67172,                0.48695,                0.90017,             7.8945e-05,             7.8945e-05,             7.8945e-05
                     37,                0.74968,                0.61068,                0.96379,                0.92732,                0.82967,                0.90253,                0.76121,                0.67107,                0.48593,                0.89961,             7.7766e-05,             7.7766e-05,             7.7766e-05
                     38,                 0.7298,                0.60993,                0.98967,                0.92541,                0.83237,                0.90427,                0.76436,                0.67094,                0.48369,                0.89812,             7.6588e-05,             7.6588e-05,             7.6588e-05
                     39,                0.75817,                0.61085,                 1.0047,                 0.9293,                0.83246,                 0.9065,                0.76818,                0.66848,                0.48041,                0.89601,              7.541e-05,              7.541e-05,              7.541e-05
                     40,                0.74821,                0.60052,                0.99335,                0.92177,                0.84041,                0.90925,                0.76877,                0.66598,                0.47652,                0.89571,             7.4232e-05,             7.4232e-05,             7.4232e-05
                     41,                0.72831,                 0.5941,                 0.9773,                0.91163,                0.84706,                0.90877,                0.76922,                0.66404,                0.47496,                0.89427,             7.3054e-05,             7.3054e-05,             7.3054e-05
                     42,                0.77163,                0.61696,                0.99029,                0.91486,                0.84686,                0.90889,                  0.772,                 0.6597,                0.47417,                 0.8931,             7.1876e-05,             7.1876e-05,             7.1876e-05
                     43,                0.75777,                0.62088,                0.99271,                0.91156,                0.84898,                0.91021,                0.77176,                0.65679,                0.47248,                0.89196,             7.0698e-05,             7.0698e-05,             7.0698e-05
                     44,                0.75089,                0.59966,                0.98623,                0.92003,                0.84682,                0.91179,                0.77386,                0.65524,                0.47319,                0.89128,              6.952e-05,              6.952e-05,              6.952e-05
                     45,                0.71552,                0.60739,                0.98345,                0.92217,                0.85113,                0.91126,                0.77315,                0.65076,                0.47158,                0.89055,             6.8342e-05,             6.8342e-05,             6.8342e-05
                     46,                0.73827,                  0.593,                0.97867,                0.92189,                0.85117,                0.91198,                0.77527,                0.64949,                0.46798,                0.89012,             6.7164e-05,             6.7164e-05,             6.7164e-05
                     47,                  0.728,                 0.6006,                0.97932,                0.91418,                 0.8544,                0.91244,                0.77608,                0.64922,                0.46674,                0.88934,             6.5986e-05,             6.5986e-05,             6.5986e-05
                     48,                0.70569,                0.58313,                0.98019,                 0.9384,                0.84123,                0.91538,                0.77654,                0.64939,                0.46576,                0.88906,             6.4807e-05,             6.4807e-05,             6.4807e-05
                     49,                0.75527,                0.60551,                0.98507,                0.90462,                0.85988,                0.91611,                0.77657,                0.65118,                0.46573,                0.88866,             6.3629e-05,             6.3629e-05,             6.3629e-05
                     50,                0.70837,                0.59497,                0.96483,                0.91407,                0.85615,                0.91791,                0.77965,                0.65178,                 0.4637,                0.88832,             6.2451e-05,             6.2451e-05,             6.2451e-05
                     51,                0.75302,                0.61172,                0.97741,                0.94679,                0.83339,                0.91579,                0.77952,                0.64861,                0.46126,                0.88734,             6.1273e-05,             6.1273e-05,             6.1273e-05
                     52,                0.71423,                0.56885,                 0.9692,                0.93855,                0.83732,                0.91676,                0.77931,                 0.6457,                0.46158,                0.88652,             6.0095e-05,             6.0095e-05,             6.0095e-05
                     53,                0.75438,                0.60193,                0.97621,                0.91865,                0.84943,                0.91663,                0.78104,                0.64176,                0.46242,                0.88497,             5.8917e-05,             5.8917e-05,             5.8917e-05
                     54,                0.74855,                0.60634,                0.96963,                0.92419,                0.84549,                0.91407,                0.77922,                0.64155,                0.46368,                 0.8846,             5.7739e-05,             5.7739e-05,             5.7739e-05
                     55,                0.71606,                0.59738,                 0.9724,                0.93564,                0.83484,                 0.9151,                0.77813,                0.63866,                0.46191,                0.88386,             5.6561e-05,             5.6561e-05,             5.6561e-05
                     56,                0.74661,                0.60519,                0.98016,                0.93852,                0.83625,                0.91587,                0.77835,                0.63586,                0.45966,                0.88357,             5.5383e-05,             5.5383e-05,             5.5383e-05
                     57,                0.71902,                0.60437,                0.97883,                0.94062,                0.83388,                0.91514,                0.78061,                0.63519,                 0.4562,                0.88325,             5.4204e-05,             5.4204e-05,             5.4204e-05
                     58,                0.72851,                0.58083,                  0.975,                0.94076,                0.83284,                0.91384,                0.78099,                0.63482,                0.45697,                0.88265,             5.3026e-05,             5.3026e-05,             5.3026e-05
                     59,                0.71608,                0.58282,                0.96851,                0.94302,                0.83454,                0.91559,                0.78348,                 0.6329,                0.45529,                0.88193,             5.1848e-05,             5.1848e-05,             5.1848e-05
                     60,                 0.7374,                0.59777,                0.98222,                0.92734,                0.85526,                0.91861,                0.78243,                0.63378,                0.45477,                0.88209,              5.067e-05,              5.067e-05,              5.067e-05
                     61,                0.73309,                 0.6064,                 1.0002,                0.93481,                0.85432,                 0.9179,                0.78255,                0.63348,                0.45331,                0.88232,             4.9492e-05,             4.9492e-05,             4.9492e-05
                     62,                0.72994,                0.59079,                0.97725,                0.93684,                0.85193,                0.91756,                0.78088,                0.63324,                0.45147,                 0.8824,             4.8314e-05,             4.8314e-05,             4.8314e-05
                     63,                0.75499,                0.60049,                0.97611,                0.93792,                0.84924,                0.91758,                0.78127,                0.63232,                 0.4503,                0.88226,             4.7136e-05,             4.7136e-05,             4.7136e-05
                     64,                 0.7177,                0.57887,                0.97315,                0.93906,                0.84734,                0.91784,                0.78288,                0.63132,                0.45298,                  0.882,             4.5958e-05,             4.5958e-05,             4.5958e-05
                     65,                0.71263,                0.58599,                0.97612,                0.93822,                0.84784,                0.91833,                0.78315,                0.63069,                0.45474,                0.88219,              4.478e-05,              4.478e-05,              4.478e-05
